mask,scenario,utility,improvement,relevance,relevance_delta,provider_disparity,fatigue,cost,intervention_stats
24,nominal,0.23710536051851577,-0.13243247697414468,0.6293706891805169,-0.014952789031925318,0.18799382716049373,0.46801560913384516,0.14,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
25,nominal,0.5274023758044686,0.15786453831180813,0.5973330981303134,-0.046990380082128747,0.1148148148148147,0.0,0.19,"{'repeat_cap_removed': 20948, 'injection_noop': 0}"
26,nominal,0.16406249720696406,-0.2054753402856964,0.6272513976410136,-0.017072080571428616,0.17975308641975296,0.435016850353155,0.24000000000000002,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
27,nominal,0.4266877015983741,0.057149864105713655,0.5977171227242615,-0.046606355488180706,0.1129706790123457,0.0,0.29000000000000004,"{'repeat_cap_removed': 19454, 'injection_noop': 0}"
28,nominal,0.18015211799894676,-0.1893857194937137,0.6281030742083024,-0.01622040400413982,0.18381172839506177,0.43828822529447803,0.22000000000000003,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
29,nominal,0.44775717653974656,0.07821933904708611,0.5984570287288695,-0.04586644948357266,0.11250771604938259,0.0,0.27,"{'repeat_cap_removed': 19564, 'injection_noop': 0}"
30,nominal,0.09116811661975321,-0.27836972087290723,0.6326781361046092,-0.011645342107832968,0.16130401234567904,0.43280693135685283,0.32000000000000006,"{'repeat_cap_removed': 0, 'injection_noop': 1440}"
31,nominal,0.3519311090559011,-0.017606728436759367,0.6036573585373408,-0.040666119675101364,0.10637345679012333,0.0,0.37,"{'repeat_cap_removed': 19129, 'injection_noop': 1440}"
32,nominal,0.25183135743500684,-0.1177064800576536,0.643049058334718,-0.0012744198777241422,0.048179012345678895,0.4871154123913272,0.12,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
33,nominal,0.5564644622770727,0.18692662478441224,0.6066396221144239,-0.037683856098018276,0.06321759259259263,0.0,0.16999999999999998,"{'repeat_cap_removed': 21578, 'injection_noop': 0}"
34,nominal,0.17606444636811416,-0.19347339112454628,0.640108191358201,-0.004215286854241218,0.047739197530864086,0.45897997575905247,0.22,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
35,nominal,0.45593177137705543,0.08639393388439498,0.6049325671816436,-0.039390911030798614,0.05915895061728382,0.0,0.27,"{'repeat_cap_removed': 20284, 'injection_noop': 0}"
36,nominal,0.19211477783118375,-0.1774230596614767,0.6416677986654999,-0.0026556795469422356,0.061751543209876525,0.4655677935484455,0.2,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
37,nominal,0.4778253551331664,0.10828751764050593,0.6084591677548692,-0.03586431045757299,0.06900462962962961,0.0,0.25,"{'repeat_cap_removed': 20513, 'injection_noop': 0}"
38,nominal,0.12221244897122285,-0.2473253885214376,0.6383604854056227,-0.005962992806819445,0.0540432098765431,0.42804756480902584,0.30000000000000004,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
39,nominal,0.3760885387704521,0.006550701277791671,0.6046844336912931,-0.03963904452114908,0.07405092592592588,0.0,0.35,"{'repeat_cap_removed': 18896, 'injection_noop': 0}"
40,nominal,0.19562163283933726,-0.1739162046533232,0.6434552815969742,-0.0008681966154679976,0.04918981481481488,0.4834985495980135,0.18,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
41,nominal,0.49674958611827447,0.12721174862561402,0.6070137489071987,-0.037309729305243455,0.06280864197530867,0.0,0.22999999999999998,"{'repeat_cap_removed': 21553, 'injection_noop': 0}"
42,nominal,0.1143878747456375,-0.25514996274702295,0.6411060361709847,-0.0032174420414574634,0.050138888888888955,0.4607841683786877,0.28,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
43,nominal,0.3954960705048437,0.02595823301218325,0.604453208428475,-0.03987026978396713,0.060694444444444384,0.0,0.32999999999999996,"{'repeat_cap_removed': 20449, 'injection_noop': 0}"
44,nominal,0.1314861276831346,-0.23805170980952584,0.6418036540464923,-0.002519824165949869,0.053070987654320945,0.46598268047200664,0.26,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
45,nominal,0.4179766157196921,0.04843877822703163,0.6088676051381283,-0.03545587307431386,0.06720679012345676,0.0,0.31,"{'repeat_cap_removed': 20488, 'injection_noop': 0}"
46,nominal,0.05726885104919771,-0.31226898644346274,0.6365867629924229,-0.007736715220019286,0.05587962962962956,0.4335072163656649,0.36,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
47,nominal,0.31627539365567314,-0.053262443836987305,0.6058758196999213,-0.038447658512520855,0.06770833333333326,0.0,0.41000000000000003,"{'repeat_cap_removed': 19235, 'injection_noop': 0}"
48,nominal,0.18227453808858346,-0.187263299404077,0.6341715195158222,-0.01015195869662,0.058140432098765515,0.4648438964356528,0.2,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
49,nominal,0.46758478426785255,0.0980469467751921,0.5974137027919427,-0.046909775420499455,0.060239197530864264,0.0,0.25,"{'repeat_cap_removed': 20915, 'injection_noop': 0}"
50,nominal,0.11373175234035726,-0.2558060851523032,0.6305738976038822,-0.01374958060856002,0.05557870370370366,0.42586487237946125,0.30000000000000004,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
51,nominal,0.36661749949348343,-0.002920337999177014,0.5945533105864614,-0.049770167625980744,0.055763888888888946,0.0,0.35,"{'repeat_cap_removed': 19185, 'injection_noop': 0}"
52,nominal,0.11902801640937105,-0.2505098210832894,0.630075404409501,-0.01424807380294113,0.07260030864197531,0.44165930358188993,0.28,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
53,nominal,0.38670302972486786,0.017165192232207416,0.5969914866214124,-0.04733199159102974,0.0656944444444445,0.0,0.33,"{'repeat_cap_removed': 19959, 'injection_noop': 0}"
54,nominal,0.0332863276334876,-0.33625150985917285,0.6333914918240998,-0.010931986388342363,0.0589043209876543,0.4315461506736928,0.38,"{'repeat_cap_removed': 0, 'injection_noop': 1440}"
55,nominal,0.29081386054448977,-0.07872397694817068,0.6016852774719295,-0.04263820074051272,0.06452932098765429,0.0,0.43000000000000005,"{'repeat_cap_removed': 19255, 'injection_noop': 1440}"
56,nominal,0.12371245541768217,-0.24582538207497828,0.6341515034665463,-0.010171974745895929,0.056180555555555456,0.4638801860959009,0.26,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
57,nominal,0.40931151423764095,0.0397736767449805,0.5993937217886679,-0.04492975642377428,0.06064043209876546,0.0,0.31,"{'repeat_cap_removed': 20999, 'injection_noop': 0}"
58,nominal,0.04724593413767053,-0.3222919033549899,0.6314273632196852,-0.012896114992757002,0.05939814814814803,0.43593130470974245,0.36,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
59,nominal,0.3084175706055707,-0.06112026688708977,0.5988466781777336,-0.04547680003470855,0.06066358024691354,0.0,0.41,"{'repeat_cap_removed': 19600, 'injection_noop': 0}"
60,nominal,0.06568615677737694,-0.3038516807152835,0.6307474153285251,-0.013576062883917106,0.06057870370370377,0.43600828650218076,0.34,"{'repeat_cap_removed': 0, 'injection_noop': 0}"
61,nominal,0.3284405210795819,-0.041097316413078566,0.5993285479626304,-0.044994930249811826,0.06286265432098759,0.0,0.39,"{'repeat_cap_removed': 19878, 'injection_noop': 0}"
62,nominal,-0.02692945981559236,-0.3964672973082528,0.6347684603715898,-0.009555017840852331,0.055208333333333304,0.43244295080778117,0.44,"{'repeat_cap_removed': 0, 'injection_noop': 1440}"
63,nominal,0.23243237272117578,-0.13710546477148466,0.6031917051668835,-0.041131773045558706,0.05979166666666669,0.0,0.49,"{'repeat_cap_removed': 19451, 'injection_noop': 1440}"
64,nominal,0.29953783749266044,-0.07,0.6443234782124422,0.0,0.1630015432098766,0.49104686146278503,0.07,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12773}"
65,nominal,0.6068372287261893,0.23729939123352883,0.6067586564882921,-0.0375648217241501,0.11633487654320995,0.0,0.12000000000000001,"{'repeat_cap_removed': 21583, 'injection_noop': 0, 'session_cap_demoted': 9158}"
66,nominal,0.22931741412954063,-0.14022042336311982,0.6384004394607813,-0.005923038751660892,0.15123456790123457,0.4545312331464334,0.17,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11513}"
67,nominal,0.5049054090666116,0.13536757157395118,0.6028739161122585,-0.04144956210018369,0.10945216049382722,0.0,0.22000000000000003,"{'repeat_cap_removed': 19794, 'injection_noop': 0, 'session_cap_demoted': 8138}"
68,nominal,0.24808368593638752,-0.12145415155627293,0.6408626118484717,-0.0034608663639704718,0.14516975308641977,0.45901818722079935,0.15000000000000002,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11682}"
69,nominal,0.5280604620293925,0.15852262453673205,0.6073432052029588,-0.036980273009483366,0.10827160493827148,0.0,0.2,"{'repeat_cap_removed': 19822, 'injection_noop': 0, 'session_cap_demoted': 8277}"
70,nominal,0.18356961223131874,-0.1859682252613417,0.6364948484369503,-0.007828629775491924,0.1261651234567902,0.4138233456777357,0.25,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 10462}"
71,nominal,0.4261509248649188,0.05661308737225834,0.6039160648436149,-0.04040741336882725,0.10645833333333332,0.0,0.30000000000000004,"{'repeat_cap_removed': 17915, 'injection_noop': 0, 'session_cap_demoted': 7298}"
72,nominal,0.2408356490741182,-0.12870218841854225,0.64374250058616,-0.0005809776262821753,0.158179012345679,0.48961044133949305,0.13,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12699}"
73,nominal,0.5466361640983455,0.17709832660568503,0.6059309817151753,-0.03839249649726684,0.11499999999999999,0.0,0.18,"{'repeat_cap_removed': 21569, 'injection_noop': 0, 'session_cap_demoted': 9043}"
74,nominal,0.16147711300963438,-0.20806072448302607,0.6405728298785244,-0.0037506483339178054,0.1533179012345678,0.4645983039226619,0.23,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11738}"
75,nominal,0.4453792610593357,0.07584142356667523,0.6043347141516898,-0.03998876406075236,0.10998456790123456,0.0,0.28,"{'repeat_cap_removed': 20362, 'injection_noop': 0, 'session_cap_demoted': 8329}"
76,nominal,0.1802059292571324,-0.18933190823552803,0.642983014309193,-0.001340463903249156,0.15521604938271594,0.4683996345990081,0.21000000000000002,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11896}"
77,nominal,0.4678790872556484,0.09834124976298797,0.608077249689447,-0.036246228522995194,0.10685185185185175,0.0,0.26,"{'repeat_cap_removed': 20359, 'injection_noop': 0, 'session_cap_demoted': 8455}"
78,nominal,0.10719214633450436,-0.2623456911581561,0.6378869465853625,-0.006436531627079689,0.13929012345679004,0.4333103533473186,0.31000000000000005,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 10822}"
79,nominal,0.36652035446096554,-0.003017483031694912,0.6053512431187745,-0.03897223509366765,0.10055555555555551,0.0,0.36,"{'repeat_cap_removed': 18903, 'injection_noop': 0, 'session_cap_demoted': 7634}"
80,nominal,0.22631141535450905,-0.1432264221381514,0.6257010427949341,-0.018622435417508076,0.2068827160493827,0.4622765418675156,0.15000000000000002,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12445}"
81,nominal,0.5139205457949694,0.14438270830230893,0.5937907578373168,-0.05053272037512535,0.1218055555555555,0.0,0.2,"{'repeat_cap_removed': 20838, 'injection_noop': 0, 'session_cap_demoted': 8888}"
82,nominal,0.15741245812505955,-0.2121253793676009,0.6237570447655131,-0.0205664334469291,0.19304783950617277,0.4234147339694936,0.25,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11207}"
83,nominal,0.41246985312985174,0.04293201563719129,0.5922019655253972,-0.05212151268704501,0.11944444444444446,0.0,0.30000000000000004,"{'repeat_cap_removed': 19021, 'injection_noop': 0, 'session_cap_demoted': 7927}"
84,nominal,0.17959477308583932,-0.18994306440682113,0.6242561636035349,-0.020067314608907316,0.20640432098765427,0.42360993648899237,0.23000000000000004,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11300}"
85,nominal,0.4354793971476437,0.06594155965498327,0.5959477393901286,-0.04837573882231361,0.11848765432098762,0.0,0.28,"{'repeat_cap_removed': 19097, 'injection_noop': 0, 'session_cap_demoted': 8135}"
86,nominal,0.0939723089683357,-0.27556552852432475,0.6303094773477232,-0.014014000864718934,0.16336419753086417,0.41501888479907195,0.33000000000000007,"{'repeat_cap_removed': 0, 'injection_noop': 1440, 'session_cap_demoted': 10812}"
87,nominal,0.3397149513049701,-0.029822886187690356,0.6015831640587872,-0.04274031415365498,0.10418209876543205,0.0,0.38,"{'repeat_cap_removed': 18425, 'injection_noop': 1440, 'session_cap_demoted': 7704}"
88,nominal,0.16710536051851577,-0.20243247697414468,0.6293706891805169,-0.014952789031925318,0.18799382716049373,0.46801560913384516,0.21000000000000002,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12432}"
89,nominal,0.4574023758044685,0.08786453831180807,0.5973330981303134,-0.046990380082128747,0.1148148148148147,0.0,0.26,"{'repeat_cap_removed': 20948, 'injection_noop': 0, 'session_cap_demoted': 8821}"
90,nominal,0.09406249720696414,-0.2754753402856963,0.6272513976410136,-0.017072080571428616,0.17975308641975296,0.435016850353155,0.31000000000000005,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11308}"
91,nominal,0.3566877015983741,-0.012850135894286352,0.5977171227242615,-0.046606355488180706,0.1129706790123457,0.0,0.36000000000000004,"{'repeat_cap_removed': 19454, 'injection_noop': 0, 'session_cap_demoted': 8018}"
92,nominal,0.11015211799894675,-0.2593857194937137,0.6281030742083024,-0.01622040400413982,0.18381172839506177,0.43828822529447803,0.29000000000000004,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11703}"
93,nominal,0.37775717653974633,0.008219339047085883,0.5984570287288695,-0.04586644948357266,0.11250771604938259,0.0,0.34,"{'repeat_cap_removed': 19564, 'injection_noop': 0, 'session_cap_demoted': 8158}"
94,nominal,0.021168116619753208,-0.34836972087290724,0.6326781361046092,-0.011645342107832968,0.16130401234567904,0.43280693135685283,0.39000000000000007,"{'repeat_cap_removed': 0, 'injection_noop': 1440, 'session_cap_demoted': 11179}"
95,nominal,0.281931109055901,-0.08760672843675943,0.6036573585373407,-0.040666119675101475,0.10637345679012333,0.0,0.44000000000000006,"{'repeat_cap_removed': 19129, 'injection_noop': 1440, 'session_cap_demoted': 7882}"
96,nominal,0.18183135743500684,-0.1877064800576536,0.643049058334718,-0.0012744198777241422,0.048179012345678895,0.4871154123913272,0.19,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12607}"
97,nominal,0.48646446227707285,0.1169266247844124,0.6066396221144239,-0.037683856098018276,0.06321759259259263,0.0,0.24,"{'repeat_cap_removed': 21578, 'injection_noop': 0, 'session_cap_demoted': 9003}"
98,nominal,0.10606444636811413,-0.2634733911245463,0.6401081913582011,-0.004215286854241107,0.047739197530864086,0.45897997575905247,0.29000000000000004,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11586}"
99,nominal,0.3859317713770555,0.01639393388439503,0.6049325671816436,-0.039390911030798614,0.05915895061728382,0.0,0.33999999999999997,"{'repeat_cap_removed': 20284, 'injection_noop': 0, 'session_cap_demoted': 8295}"
100,nominal,0.12211477783118374,-0.2474230596614767,0.6416677986654999,-0.0026556795469422356,0.061751543209876525,0.4655677935484455,0.27,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11890}"
101,nominal,0.40782535513316637,0.03828751764050592,0.6084591677548693,-0.03586431045757288,0.06900462962962961,0.0,0.32,"{'repeat_cap_removed': 20513, 'injection_noop': 0, 'session_cap_demoted': 8555}"
102,nominal,0.0522124489712229,-0.31732538852143755,0.6383604854056228,-0.005962992806819334,0.0540432098765431,0.42804756480902584,0.37,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 10741}"
103,nominal,0.30608853877045206,-0.06344929872220839,0.6046844336912931,-0.03963904452114908,0.07405092592592588,0.0,0.42000000000000004,"{'repeat_cap_removed': 18896, 'injection_noop': 0, 'session_cap_demoted': 7717}"
104,nominal,0.12562163283933725,-0.2439162046533232,0.6434552815969742,-0.0008681966154679976,0.04918981481481488,0.4834985495980135,0.25,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12506}"
105,nominal,0.42674958611827446,0.05721174862561401,0.6070137489071987,-0.037309729305243455,0.06280864197530867,0.0,0.3,"{'repeat_cap_removed': 21553, 'injection_noop': 0, 'session_cap_demoted': 8876}"
106,nominal,0.044387874745637546,-0.3251499627470229,0.6411060361709847,-0.0032174420414574634,0.050138888888888955,0.4607841683786877,0.35,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11605}"
107,nominal,0.3254960705048437,-0.044041766987816755,0.6044532084284749,-0.03987026978396724,0.060694444444444384,0.0,0.39999999999999997,"{'repeat_cap_removed': 20449, 'injection_noop': 0, 'session_cap_demoted': 8277}"
108,nominal,0.061486127683134606,-0.30805170980952584,0.6418036540464923,-0.002519824165949869,0.053070987654320945,0.46598268047200664,0.33,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11812}"
109,nominal,0.3479766157196921,-0.021561221772968375,0.6088676051381283,-0.03545587307431386,0.06720679012345676,0.0,0.38,"{'repeat_cap_removed': 20488, 'injection_noop': 0, 'session_cap_demoted': 8406}"
110,nominal,-0.012731148950802296,-0.38226898644346274,0.6365867629924231,-0.007736715220019064,0.05587962962962956,0.4335072163656649,0.43,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 10796}"
111,nominal,0.2462753936556732,-0.12326244383698726,0.6058758196999213,-0.038447658512520855,0.06770833333333326,0.0,0.48,"{'repeat_cap_removed': 19235, 'injection_noop': 0, 'session_cap_demoted': 7708}"
112,nominal,0.11227453808858345,-0.257263299404077,0.6341715195158222,-0.01015195869662,0.058140432098765515,0.4648438964356528,0.27,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12324}"
113,nominal,0.39758478426785254,0.028046946775192094,0.5974137027919427,-0.046909775420499455,0.060239197530864264,0.0,0.32,"{'repeat_cap_removed': 20915, 'injection_noop': 0, 'session_cap_demoted': 8825}"
114,nominal,0.04373175234035742,-0.325806085152303,0.6305738976038822,-0.01374958060856002,0.05557870370370366,0.42586487237946125,0.37,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11113}"
115,nominal,0.2966174994934834,-0.07292033799917702,0.5945533105864614,-0.049770167625980744,0.055763888888888946,0.0,0.42,"{'repeat_cap_removed': 19185, 'injection_noop': 0, 'session_cap_demoted': 7877}"
116,nominal,0.049028016409371045,-0.3205098210832894,0.6300754044095009,-0.014248073802941241,0.07260030864197531,0.44165930358188993,0.35000000000000003,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11802}"
117,nominal,0.31670302972486786,-0.05283480776779259,0.5969914866214124,-0.04733199159102974,0.0656944444444445,0.0,0.4,"{'repeat_cap_removed': 19959, 'injection_noop': 0, 'session_cap_demoted': 8352}"
118,nominal,-0.036713672366512407,-0.40625150985917285,0.6333914918240998,-0.010931986388342363,0.0589043209876543,0.4315461506736928,0.45,"{'repeat_cap_removed': 0, 'injection_noop': 1440, 'session_cap_demoted': 11173}"
119,nominal,0.22081386054448982,-0.14872397694817063,0.6016852774719295,-0.04263820074051272,0.06452932098765429,0.0,0.5,"{'repeat_cap_removed': 19255, 'injection_noop': 1440, 'session_cap_demoted': 8045}"
120,nominal,0.05371245541768216,-0.3158253820749783,0.6341515034665463,-0.010171974745895929,0.056180555555555456,0.4638801860959009,0.33,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 12240}"
121,nominal,0.33931151423764094,-0.030226323255019505,0.5993937217886679,-0.04492975642377428,0.06064043209876546,0.0,0.38,"{'repeat_cap_removed': 20999, 'injection_noop': 0, 'session_cap_demoted': 8696}"
122,nominal,-0.02275406586232953,-0.39229190335499,0.6314273632196852,-0.012896114992757002,0.05939814814814803,0.43593130470974245,0.43000000000000005,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11210}"
123,nominal,0.23841757060557062,-0.13112026688708983,0.5988466781777336,-0.04547680003470855,0.06066358024691354,0.0,0.48000000000000004,"{'repeat_cap_removed': 19600, 'injection_noop': 0, 'session_cap_demoted': 7999}"
124,nominal,-0.0043138432226230705,-0.3738516807152835,0.6307474153285251,-0.013576062883917106,0.06057870370370377,0.43600828650218076,0.41000000000000003,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'session_cap_demoted': 11526}"
125,nominal,0.2584405210795819,-0.11109731641307857,0.5993285479626304,-0.044994930249811826,0.06286265432098759,0.0,0.46,"{'repeat_cap_removed': 19878, 'injection_noop': 0, 'session_cap_demoted': 8203}"
126,nominal,-0.09692945981559237,-0.4664672973082528,0.6347684603715898,-0.009555017840852331,0.055208333333333304,0.43244295080778117,0.51,"{'repeat_cap_removed': 0, 'injection_noop': 1440, 'session_cap_demoted': 11153}"
127,nominal,0.16243237272117572,-0.20710546477148473,0.6031917051668835,-0.041131773045558706,0.05979166666666669,0.0,0.56,"{'repeat_cap_removed': 19451, 'injection_noop': 1440, 'session_cap_demoted': 7929}"
128,nominal,0.34901164928196904,-0.02052618821069141,0.6336366492219775,-0.010686828990464692,0.15635802469135807,0.40521452184910195,0.09,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'freshness_quota': 2880}"
129,nominal,0.585879431252159,0.21634159375949857,0.6051410460382546,-0.0391824321741876,0.12274691358024681,0.0,0.14,"{'repeat_cap_removed': 20677, 'injection_noop': 0, 'freshness_quota': 2880}"
130,nominal,0.2844157871886241,-0.08512205030403636,0.6282423780801459,-0.016081100132296244,0.14471450617283943,0.360229639241105,0.19,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'freshness_quota': 2880}"
131,nominal,0.48469684263197665,0.1151590051393162,0.6022693581408624,-0.042054120071579826,0.11786265432098753,0.0,0.24000000000000002,"{'repeat_cap_removed': 19038, 'injection_noop': 0, 'freshness_quota': 2880}"
132,nominal,0.29747842440203365,-0.0720594130906268,0.6314336704689352,-0.012889807743507009,0.16030864197530859,0.3709489954627155,0.16999999999999998,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'freshness_quota': 2880}"
133,nominal,0.5076535057278516,0.13811566823519117,0.6077475509429803,-0.036575927269461905,0.10646604938271609,0.0,0.21999999999999997,"{'repeat_cap_removed': 19254, 'injection_noop': 0, 'freshness_quota': 2880}"
134,nominal,0.23397003944346306,-0.13556779804919739,0.6252748276072334,-0.019048650605208772,0.15045524691358025,0.3249772570952771,0.27,"{'repeat_cap_removed': 0, 'injection_noop': 0, 'freshness_quota': 2880}"
135,nominal,0.405930909415822,0.036393071923161546,0.6046169718799632,-0.039706506332478964,0.10955246913580252,0.0,0.31999999999999995,"{'repeat_cap_removed': 17554, 'injection_noop': 0, 'freshness_quota': 2880}"
